0.633333, 1870.266724, 0.000954, 10, 100, 60, 30, 0.500000, 1
0.433333, 336742.187500, 0.179128, 10, 1000, 400, 30, 0.500000, 1
0.700000, 30756.199219, 0.045573, 100, 500, 400, 40, 0.500000, 3
0.000000, 1765.150024, 0.001714, 0, 1000, 700, 40, 0.300000, 3
0.000000, 1755.400024, 0.002839, 0, 1000, 700, 40, 0.300000, 2
1.000000, 1750.250000, 0.002350, 0, 1000, 300, 40, 0.700000, 2
1.000000, 1754.550049, 0.003230, 0, 1000, 300, 40, 0.700000, 4
0.000000, 2450.500000, 0.005013, 0, 1000, 500, 60, 0.400000, 4
0.000000, 2571.500000, 0.006755, 0, 1000, 500, 60, 0.400000, 8
0.018000, 4881.587891, 0.189803, 0, 1000, 990, 1000, 0.400000, 8
0.100000, 1124.290039, 0.043019, 0, 1000, 999, 1000, 0.100000, 16
1.000000, 5091.910156, 0.194235, 0, 1000, 500, 1000, 0.550000, 16
0.979000, 4821.271973, 0.189865, 0, 500, 20, 1000, 0.550000, 16
